region,division
Region 1 – Central Virginia,Charles City County
Region 1 – Central Virginia,Chesterfield County
Region 1 – Central Virginia,Colonial Heights
Region 1 – Central Virginia,Dinwiddie County
Region 1 – Central Virginia,Goochland County
Region 1 – Central Virginia,Hanover County
Region 1 – Central Virginia,Henrico County
Region 1 – Central Virginia,Hopewell
Region 1 – Central Virginia,New Kent County
Region 1 – Central Virginia,Petersburg
Region 1 – Central Virginia,Powhatan County
Region 1 – Central Virginia,Prince George County
Region 1 – Central Virginia,Richmond
Region 1 – Central Virginia,Surry County
Region 1 – Central Virginia,Sussex County
Region 2 – Tidewater,Accomack County
Region 2 – Tidewater,Chesapeake
Region 2 – Tidewater,Franklin
Region 2 – Tidewater,Hampton
Region 2 – Tidewater,Isle of Wight County
Region 2 – Tidewater,James City County (go to Williamsburg-James City County)
Region 2 – Tidewater,Newport News
Region 2 – Tidewater,Norfolk
Region 2 – Tidewater,Northampton County
Region 2 – Tidewater,Poquoson
Region 2 – Tidewater,Portsmouth
Region 2 – Tidewater,Southampton County
Region 2 – Tidewater,Suffolk
Region 2 – Tidewater,Virginia Beach
Region 2 – Tidewater,Williamsburg-James City County
Region 2 – Tidewater,York County
Region 3 – Northern Neck,Caroline County
Region 3 – Northern Neck,Colonial Beach
Region 3 – Northern Neck,Essex County
Region 3 – Northern Neck,Fredericksburg
Region 3 – Northern Neck,Gloucester County
Region 3 – Northern Neck,King George County
Region 3 – Northern Neck,King William County
Region 3 – Northern Neck,King and Queen County
Region 3 – Northern Neck,Lancaster County
Region 3 – Northern Neck,Mathews County
Region 3 – Northern Neck,Middlesex County
Region 3 – Northern Neck,Northumberland County
Region 3 – Northern Neck,Richmond County
Region 3 – Northern Neck,Spotsylvania County
Region 3 – Northern Neck,Stafford County
Region 3 – Northern Neck,Westmoreland County
Region 3 – Northern Neck,West Point
Region 4 – Northern Virginia,Alexandria
Region 4 – Northern Virginia,Arlington County
Region 4 – Northern Virginia,Clarke County
Region 4 – Northern Virginia,Culpeper County
Region 4 – Northern Virginia,Fairfax County
Region 4 – Northern Virginia,Falls Church
Region 4 – Northern Virginia,Fauquier County
Region 4 – Northern Virginia,Frederick County
Region 4 – Northern Virginia,Loudoun County
Region 4 – Northern Virginia,Madison County
Region 4 – Northern Virginia,Manassas
Region 4 – Northern Virginia,Manassas Park
Region 4 – Northern Virginia,Orange County
Region 4 – Northern Virginia,Page County
Region 4 – Northern Virginia,Prince William County
Region 4 – Northern Virginia,Rappahannock County
Region 4 – Northern Virginia,Shenandoah County
Region 4 – Northern Virginia,Warren County
Region 4 – Northern Virginia,Winchester
Region 5 – Valley,Albemarle County
Region 5 – Valley,Amherst County
Region 5 – Valley,Augusta County
Region 5 – Valley,Bath County
Region 5 – Valley,Bedford County
Region 5 – Valley,Buena Vista
Region 5 – Valley,Campbell County
Region 5 – Valley,Charlottesville
Region 5 – Valley,Fluvanna County
Region 5 – Valley,Greene County
Region 5 – Valley,Harrisonburg
Region 5 – Valley,Highland County
Region 5 – Valley,Lexington
Region 5 – Valley,Louisa County
Region 5 – Valley,Lynchburg
Region 5 – Valley,Nelson County
Region 5 – Valley,Rockbridge County
Region 5 – Valley,Rockingham County
Region 5 – Valley,Staunton
Region 5 – Valley,Waynesboro
Region 6 – Western Virginia,Alleghany County
Region 6 – Western Virginia,Botetourt County
Region 6 – Western Virginia,Covington
Region 6 – Western Virginia,Craig County
Region 6 – Western Virginia,Danville
Region 6 – Western Virginia,Floyd County
Region 6 – Western Virginia,Franklin County
Region 6 – Western Virginia,Henry County
Region 6 – Western Virginia,Martinsville
Region 6 – Western Virginia,Montgomery County
Region 6 – Western Virginia,Patrick County
Region 6 – Western Virginia,Pittsylvania County
Region 6 – Western Virginia,Roanoke
Region 6 – Western Virginia,Roanoke County
Region 6 – Western Virginia,Salem
Region 7 – Southwest,Bland County
Region 7 – Southwest,Buchanan County
Region 7 – Southwest,Bristol
Region 7 – Southwest,Carroll County
Region 7 – Southwest,Dickenson County
Region 7 – Southwest,Galax
Region 7 – Southwest,Giles County
Region 7 – Southwest,Grayson County
Region 7 – Southwest,Lee County
Region 7 – Southwest,Norton
Region 7 – Southwest,Pulaski County
Region 7 – Southwest,Radford
Region 7 – Southwest,Russell County
Region 7 – Southwest,Scott County
Region 7 – Southwest,Smyth County
Region 7 – Southwest,Tazewell County
Region 7 – Southwest,Washington County
Region 7 – Southwest,Wise County
Region 7 – Southwest,Wythe County
Region 8 – Southside,Amelia County
Region 8 – Southside,Appomattox County
Region 8 – Southside,Brunswick County
Region 8 – Southside,Buckingham County
Region 8 – Southside,Charlotte County
Region 8 – Southside,Cumberland County
Region 8 – Southside,Greensville County
Region 8 – Southside,Halifax County
Region 8 – Southside,Lunenburg County
Region 8 – Southside,Mecklenburg County
Region 8 – Southside,Nottoway County
Region 8 – Southside,Prince Edward County